player_id,lnr_id,lnr_slug,name,team,team_code,position_group,position_raw,nationality,age,height_cm,weight_kg,season,matches_played,minutes_total,minutes_avg,yellow_cards,orange_cards,red_cards,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,tries_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_disc,axis_pow,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,rating_value,has_prior
lnr_2569,2569,ewan-johnson,Ewan Johnson,Bayonne,BAY,LOCK,2ème ligne,Grande-Bretagne,26.0,,120.0,2025-2026,17,857.0,50.4,0,0,0,9.52,,,0.19,,,,0.09,0.19,,,0.0,0.0,,,,,lnr,80.1,80.1,0.999,25,13,0,26,100,10,2ème Ligne,2L,100,Haute,False,Bonne,False,11,85.7,,,,,,,,,,,,80.1,False
lnr_2102,2102,lucas-martin,Lucas Martin,Bayonne,BAY,FRONT_ROW,1ère ligne,France,23.0,185.0,96.0,2025-2026,16,603.0,37.7,0,0,0,11.54,,,0.27,,,,0.4,0.53,,,3.32,0.66,,,,,lnr,91.5,88.7,0.87,100,44,83,51,100,63,1ère Ligne,1L,87,Haute,False,Moyenne,False,2,99.4,,,,,,,,,,,,82.4,True
lnr_707,707,cheikh-saliou-tiberghien,C. Tiberghien,Bayonne,BAY,FULLBACK,Arrière,France,26.0,186.0,96.0,2025-2026,16,947.0,59.2,1,0,0,1.77,,,0.08,,,,0.42,0.34,,,1.52,0.25,,,,,lnr,58.1,58.1,1.0,32,20,21,14,68,31,Arrière,ARR,100,Haute,False,Bonne,False,33,3.0,,,,,,,,,,,,59.5,True
lnr_2658,2658,facundo-bosch,Facundo Bosch,Bayonne,BAY,FRONT_ROW,1ère ligne,Argentine,34.0,180.0,100.0,2025-2026,15,677.0,45.1,2,0,0,12.76,,,0.47,,,,0.0,0.95,,,0.59,0.12,,,,,lnr,62.7,62.8,0.977,0,79,15,63,38,33,1ère Ligne,1L,98,Haute,False,Moyenne,False,146,7.6,67.0,Argentine,25,cluster_1,51.2,50.0,50.0,76.2,91.1,50.0,87.6,71.7,True
lnr_2612,2612,sireli-maqala,Sireli Maqala,Bayonne,BAY,CENTRE,Centre,Fidji,26.0,172.0,88.0,2025-2026,14,893.0,63.8,2,0,0,5.38,,,0.36,,,,0.72,0.9,,,2.24,0.45,,,,,lnr,69.9,69.9,0.991,62,57,51,38,3,59,Centre,CTR,99,Haute,False,Bonne,False,30,62.3,,,,,,,,,,,,70.4,True
lnr_2349,2349,emerick-setiano,Emerick Setiano,Bayonne,BAY,FRONT_ROW,1ère ligne,France,29.0,183.0,115.0,2025-2026,14,616.0,44.0,2,0,0,6.75,,,0.0,,,,0.13,0.13,,,0.0,0.0,,,,,lnr,54.6,56.3,0.889,37,11,0,8,32,0,1ère Ligne,1L,89,Haute,False,Moyenne,False,154,2.5,,,,,,,,,,,,64.9,True
lnr_2565,2565,andy-bordelai,Andy Bordelai,Bayonne,BAY,FRONT_ROW,1ère ligne,France,25.0,186.0,115.0,2025-2026,13,711.0,54.7,2,0,0,9.68,,,0.0,,,,0.11,0.0,,,0.0,0.0,,,,,lnr,59.2,59.2,1.0,31,0,0,35,41,0,1ère Ligne,1L,100,Haute,False,Moyenne,False,150,5.1,,,,,,,,,,,,63.6,True
lnr_2645,2645,pascal-cotet,Pascal Cotet,Bayonne,BAY,FRONT_ROW,1ère ligne,France,32.0,184.0,123.0,2025-2026,13,429.0,33.0,2,0,0,8.21,,,0.0,,,,0.0,0.19,,,0.0,0.0,,,,,lnr,43.1,53.3,0.619,0,16,0,21,2,0,1ère Ligne,1L,62,Moyenne,False,Moyenne,False,156,1.3,,,,,,,,,,,,59.4,True
lnr_663,663,alexandre-fischer,A. Fischer,Bayonne,BAY,BACK_ROW,3ème ligne,France,28.0,188.0,107.0,2025-2026,13,721.0,55.5,0,0,0,9.65,,,0.33,,,,0.44,0.55,,,1.66,0.33,,,,,lnr,82.0,80.1,0.846,52,52,64,30,100,56,3ème Ligne,3L,85,Haute,False,Moyenne,False,9,91.4,,,,,,,,,,,,74.6,True
lnr_2633,2633,baptiste-heguy,B. Heguy,Bayonne,BAY,BACK_ROW,3ème ligne,France,27.0,196.0,104.0,2025-2026,13,656.0,50.5,0,0,0,10.12,,,0.12,,,,0.12,0.24,,,0.0,0.0,,,,,lnr,68.5,68.9,0.769,14,23,0,34,100,7,3ème Ligne,3L,77,Haute,False,Moyenne,False,64,32.3,,,,,,,,,,,,68.3,True
