lnr_slug,name,team,n_matches_consistency,consistency_raw,axis_consistency
mael-castel,Mael CASTEL,US Montauban,4,0.9057,88.1
ru-hann-greyling,Ru-hann GREYLING,US Montauban,12,0.9035,87.6
emerick-setiano,Emerick SETIANO,Aviron Bayonnais,13,0.9019,87.3
tiaan-jacobs,Tiaan JACOBS,Union Bordeaux-Bègles,11,0.9004,87.0
cristian-ojovan,C. OJOVAN,ASM Clermont,18,0.8985,86.5
nolhann-couillaud,Nolhann COUILLAUD,Stade Rochelais,3,0.8978,86.4
gauthier-maravat,G. MARAVAT,Castres Olympique,11,0.895,85.8
thomas-souverbie,Thomas SOUVERBIE,Section Paloise,9,0.8943,85.6
naoto-saito,Naoto SAITO,Stade Toulousain,7,0.8926,85.2
noe-della-schiava,N. DELLA SCHIAVA,USA Perpignan,3,0.8915,85.0
mikheili-shioshvili,M. SHIOSHVILI,RC Toulon,3,0.8861,83.8
cyril-baille,Cyril BAILLE,Stade Toulousain,11,0.8844,83.4
antoine-gibert,Antoine GIBERT,Racing 92,11,0.8819,82.9
duncan-paiaaua,Duncan PAIA'AUA,USA Perpignan,4,0.8804,82.6
arthur-mathiron,Arthur MATHIRON,LOU Rugby,3,0.8799,82.5
leone-nakarawa,Leone NAKARAWA,Castres Olympique,3,0.8797,82.4
tommaso-allan,Tommaso ALLAN,USA Perpignan,9,0.8754,81.5
nikoloz-narmania,Nikoloz NARMANIA,RC Toulon,3,0.8683,79.9
santiago-chocobares,S. CHOCOBARES,Stade Toulousain,8,0.8615,78.4
pita-gus-sowakula,P. SOWAKULA,ASM Clermont,14,0.8597,78.0
thomas-ceyte,Thomas CEYTE,ASM Clermont,16,0.8545,76.9
pierre-fouyssac,Pierre FOUYSSAC,ASM Clermont,4,0.8545,76.9
gael-drean,Gaël DREAN,RC Toulon,14,0.8519,76.3
florian-verhaeghe,Florian VERHAEGHE,Montpellier Hérault Rugby,13,0.8479,75.4
matias-remue,Matias REMUE,Stade Toulousain,3,0.8439,74.5
joseph-manu,Joseph MANU,Racing 92,12,0.843,74.3
tristan-james-tedder,T. TEDDER,USA Perpignan,8,0.8386,73.4
pierre-bourgarit,Pierre BOURGARIT,Stade Rochelais,4,0.8388,73.4
ugo-boniface,Ugo BONIFACE,Union Bordeaux-Bègles,4,0.8382,73.3
tevita-kasikasi-ratuva,T. RATUVA,ASM Clermont,8,0.8304,71.6
fabien-brau-boirie,F. BRAU-BOIRIE,Section Paloise,14,0.8273,70.9
paul-graou,Paul GRAOU,Stade Toulousain,18,0.827,70.8
ethan-dumortier,Ethan DUMORTIER,LOU Rugby,12,0.8256,70.5
adam-coleman,Adam COLEMAN,Union Bordeaux-Bègles,8,0.8243,70.2
gregoire-arfeuil,G. ARFEUIL,Section Paloise,17,0.8233,70.0
aaron-grandidier-nkanang,A. GRANDIDIER-NKANANG,Section Paloise,17,0.8213,69.6
noah-tisie-nene,N. NENE,Stade Français Paris,11,0.8185,69.0
suliasi-vunivalu,Suliasi VUNIVALU,Stade Rochelais,4,0.8179,68.8
bastien-chalureau,Bastien CHALUREAU,Montpellier Hérault Rugby,12,0.8169,68.6
thibaud-flament,Thibaud FLAMENT,Stade Toulousain,10,0.817,68.6
wame-naituvi,Wame NAITUVI,Racing 92,4,0.8163,68.5
paul-costes,Paul COSTES,Stade Toulousain,10,0.816,68.4
abraham-papalii,Abraham PAPALII,Castres Olympique,12,0.8124,67.6
oscar-jegou,Oscar JEGOU,Stade Rochelais,12,0.8106,67.2
kirill-fraindt,Kirill FRAINDT,Stade Rochelais,5,0.8104,67.2
lucas-tauzin,Lucas TAUZIN,ASM Clermont,6,0.8089,66.8
cameron-woki,Cameron WOKI,Union Bordeaux-Bègles,18,0.8074,66.5
charles-ollivon,Charles OLLIVON,RC Toulon,10,0.807,66.4
yoram-falatea-moefana,Y. FALATEA MOEFANA,Union Bordeaux-Bègles,7,0.8058,66.2
baptiste-mouchous,B. MOUCHOUS,US Montauban,16,0.8046,65.9
diego-jurd,Diego JURD,Stade Rochelais,3,0.8032,65.6
jeronimo-de-la-fuente,J. DE LA FUENTE,USA Perpignan,15,0.8034,65.6
lenni-nouchi,Lenni NOUCHI,Montpellier Hérault Rugby,15,0.8027,65.5
george-moala,George MOALA,ASM Clermont,3,0.8017,65.3
luke-tagi,Luke TAGI,Aviron Bayonnais,6,0.8003,65.0
viliami-vunipola,Viliami VUNIPOLA,Montpellier Hérault Rugby,16,0.7996,64.8
vinaya-habosi,Vinaya HABOSI,Racing 92,18,0.799,64.7
lekima-vuda-tagitagivalu,L. TAGITAGIVALU,Racing 92,15,0.7986,64.6
jules-favre,Jules FAVRE,Stade Rochelais,15,0.7984,64.5
jon-echegaray,Jon ECHEGARAY,Montpellier Hérault Rugby,5,0.7975,64.3
mateo-carreras-1,Mateo CARRERAS,Aviron Bayonnais,8,0.797,64.2
alivereti-raka,A. RAKA,ASM Clermont,4,0.7958,64.0
samuel-simmonds-1,Samuel SIMMONDS,LOU Rugby,18,0.7957,63.9
jonathan-gray,J. GRAY,Union Bordeaux-Bègles,8,0.7942,63.6
camille-chat,Camille CHAT,LOU Rugby,13,0.7937,63.5
ulupano-seuteni,Ulupano SEUTENI,Stade Rochelais,12,0.7932,63.4
beka-shvangiradze,B. SHVANGIRADZE,LOU Rugby,7,0.7934,63.4
maxime-espeut,Maxime ESPEUT,US Montauban,16,0.7915,63.0
simeli-daunivucu,Simeli DAUNIVUCU,Stade Rochelais,4,0.7913,63.0
tomas-albornoz-1,Tomas ALBORNOZ,RC Toulon,8,0.7903,62.8
selesitino-ravutaumada,S. RAVUTAUMADA,Racing 92,7,0.7896,62.6
james-thomas-ritchie,J. RITCHIE,USA Perpignan,11,0.7894,62.6
kyllian-ringuet,Kyllian RINGUET,US Montauban,16,0.789,62.5
jean-baptiste-gros,J. GROS,RC Toulon,9,0.7871,62.1
hugo-parrou,Hugo PARROU,Section Paloise,5,0.7875,62.1
charles-laloi,Charles LALOI,Stade Français Paris,4,0.7855,61.7
santiago-arata-perrone,S. ARATA PERRONE,Castres Olympique,13,0.785,61.6
giorgi-beria,Giorgi BERIA,USA Perpignan,10,0.7847,61.5
paul-mallez,Paul MALLEZ,Stade Toulousain,6,0.784,61.4
selevasio-tolofua,S. TOLOFUA,ASM Clermont,15,0.7835,61.3
liam-robson-allen,L. ALLEN,LOU Rugby,10,0.7824,61.0
hugo-zabalza,Hugo ZABALZA,US Montauban,16,0.7813,60.8
samuel-ezeala,Samuel EZEALA,Stade Français Paris,11,0.7812,60.8
esteban-gonzalez,Esteban GONZALEZ,LOU Rugby,8,0.7812,60.8
theo-attissogbe,T. ATTISSOGBE,Section Paloise,6,0.7809,60.7
maxwell-hicks,Maxwell HICKS,USA Perpignan,17,0.7811,60.7
maxime-lucu,Maxime LUCU,Union Bordeaux-Bègles,9,0.7788,60.2
james-robert-hall,J. HALL,USA Perpignan,10,0.7785,60.2
ugo-pacome,Ugo PACOME,Stade Rochelais,6,0.7754,59.5
madosha-tambwe,Madosha TAMBWE,Union Bordeaux-Bègles,6,0.7754,59.5
alivereti-uqueqe-duguivalu,A. DUGUIVALU,USA Perpignan,14,0.7716,58.6
theo-forner,Theo FORNER,USA Perpignan,13,0.7716,58.6
ange-capuozzo,Ange CAPUOZZO,Stade Toulousain,6,0.7702,58.3
paul-abadie,Paul ABADIE,Stade Français Paris,12,0.7693,58.1
leo-ametlla,Léo AMETLLA,RC Toulon,7,0.7679,57.8
hugo-domingo-miotti,H. MIOTTI,Montpellier Hérault Rugby,18,0.7668,57.6
clement-verge,Clement VERGE,Stade Toulousain,16,0.7665,57.5
emilien-gailleton,Emilien GAILLETON,Section Paloise,13,0.7651,57.2
alexandre-fischer,A. FISCHER,Aviron Bayonnais,12,0.7646,57.1
stephane-ahmed,S. AHMED,US Montauban,6,0.7645,57.1
joseph-carbery,Joseph CARBERY,Union Bordeaux-Bègles,6,0.7629,56.7
georges-henri-colombe-reazel,G. COLOMBE REAZEL,Stade Toulousain,8,0.7627,56.7
joshua-brennan,Joshua BRENNAN,Stade Toulousain,12,0.7595,56.0
louis-keziah-penverne,L. PENVERNE,Stade Rochelais,6,0.758,55.7
matthias-haddad,M. HADDAD,Stade Rochelais,11,0.7579,55.6
moses-eneliko-alo-emile,M. ALO EMILE,Stade Français Paris,17,0.7572,55.5
rodrigo-bruni,Rodrigo BRUNI,Aviron Bayonnais,14,0.7563,55.3
mathieu-babillot,Mathieu BABILLOT,Castres Olympique,12,0.7566,55.3
jerome-bosviel,J. BOSVIEL,US Montauban,14,0.7534,54.6
leon-darricarrere,L. DARRICARRERE,ASM Clermont,12,0.7529,54.5
esteban-abadie,Esteban ABADIE,RC Toulon,16,0.7522,54.4
theo-chabouni,Théo CHABOUNI,Castres Olympique,16,0.7506,54.0
gaetan-barlot,Gaëtan BARLOT,Union Bordeaux-Bègles,10,0.7499,53.9
william-skelton,William SKELTON,Stade Rochelais,7,0.7501,53.9
lucas-zamora,Lucas ZAMORA,ASM Clermont,6,0.7485,53.6
arthur-iturria,Arthur ITURRIA,Aviron Bayonnais,15,0.747,53.2
joe-simmonds,Joe SIMMONDS,Section Paloise,7,0.7455,52.9
jon-zabala-arrieta,J. ZABALA ARRIETA,Section Paloise,5,0.7453,52.9
maxim-granell,Maxim GRANELL,USA Perpignan,8,0.7451,52.8
elias-jack-goodhue,E. GOODHUE,Castres Olympique,16,0.7431,52.4
pierre-bochaton,Pierre BOCHATON,Union Bordeaux-Bègles,10,0.7427,52.3
matthieu-jalibert,M. JALIBERT,Union Bordeaux-Bègles,12,0.7421,52.2
romain-ntamack,Romain NTAMACK,Stade Toulousain,11,0.74,51.7
nugzari-somkhisvhili,N. SOMKHISVHILI,US Montauban,3,0.7386,51.4
thibaud-lanen,Thibaud LANEN,ASM Clermont,11,0.7386,51.4
jacobus-van-tonder,J. VAN TONDER,USA Perpignan,13,0.738,51.3
thomas-lainault,Thomas LAINAULT,Racing 92,17,0.7381,51.3
max-spring,Max SPRING,Racing 92,13,0.7381,51.3
tanginoa-palu-halaifonua,T. HALAIFONUA,Stade Français Paris,18,0.7359,50.8
mathis-ferte,Mathis FERTE,RC Toulon,17,0.7359,50.8
nathan-hughes,Nathan HUGHES,Racing 92,19,0.7345,50.5
marko-gazzotti,Marko GAZZOTTI,Union Bordeaux-Bègles,11,0.7343,50.4
lester-etien,Lester ETIEN,Stade Français Paris,5,0.7337,50.3
karl-wilkins,Karl WILKINS,US Montauban,14,0.7332,50.2
fred-quercy,Fred QUERCY,US Montauban,9,0.7328,50.1
baptiste-germain,B. GERMAIN,Aviron Bayonnais,13,0.7323,50.0
simon-renda,Simon RENDA,US Montauban,13,0.7324,50.0
tumua-manu,Tumua MANU,Section Paloise,3,0.7293,49.3
