Age,Height in cm,Weight in kg,Tries_avg,Try Assists_avg,Clean Breaks_avg,Defenders Beaten_avg,Meters Run_avg,Offload_avg,Passes_avg,Runs_avg,Missed Tackles_avg,Tackles_avg,Turnovers Conceded_avg,Penalties Conceded_avg,Yellow Cards_avg,RucksWon_avg,ScrumsRatio_avg,Tackle Ratio_avg,Lineouts Won_avg,Conversion Goals_avg,Penalty Goals_avg,Drop Goals Converted_avg,name,matches_intl,position_naim,sub_caps,is_forward,team_code,cluster,axis_course,axis_distrib,axis_kicking,axis_physique,axis_rigueur,axis_danger,axis_melee,rating_intl,photo_url,position_label,team
33.0,190.5,111.58,54.82575757575758,50.0,71.86776859504133,66.92275056368493,65.23866447063708,61.890176937156824,53.81806768986628,78.2579094913897,84.07902036934298,100.0,91.0909090909091,73.25999393650655,100.0,96.3710879284649,95.58624649049568,97.65340644730374,50.0,50.0,50.0,50.0,M WILSON,22,FL,8.0,1,ENG,cluster_1,76.0,56.5,50.0,93.9,83.0,65.5,90.5,74.6,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Flanker,Angleterre
23.0,180.34,99.79,60.61666666666667,50.0,60.6909090909091,75.59566022757343,64.17905841067163,50.0,51.58914168713354,72.38026431718065,72.49215344376637,66.4555539952254,80.4,86.92710814673653,100.0,87.15163934426229,93.43561923920393,90.0705401314044,50.0,50.0,50.0,50.0,O LAWRENCE,10,C,2.0,0,ENG,cluster_1,68.3,50.2,50.0,89.2,87.3,61.8,93.4,64.6,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Centre,Angleterre
32.0,182.88,120.66,51.76944444444445,56.46276293348494,51.78181818181818,62.797830113786716,56.448667808243314,53.269798657718134,52.345875823863786,79.63312775330401,73.74171752397561,87.66493470018257,87.75,53.15547085913925,75.5,91.78593947036578,91.48161301656117,95.11254309609049,50.0,50.0,50.0,50.0,M VUNIPOLA,60,P,35.0,1,ENG,cluster_1,88.9,66.0,50.0,90.7,58.9,73.9,86.3,70.7,https://www.lequipe.fr/_medias/img-sportif-rugby/6492/110,Pilier,Angleterre
37.0,182.88,92.99,65.16666666666666,91.54633314383177,93.9090909090909,100.0,100.0,87.3691275167786,56.89168588807908,100.0,71.42109851787272,64.10476056733606,50.0,74.32110528823247,100.0,92.94451450189159,93.91293373633805,85.69642773538088,50.71296296296296,50.0,50.0,50.0,M BROWN,28,FB,8.0,0,ENG,cluster_1,98.5,84.9,50.0,87.8,70.4,87.0,93.9,81.8,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Arrière,Angleterre
33.0,177.8,88.0,67.17401960784314,100.0,72.79679144385027,67.45158651880007,66.89329491600459,74.04263718910386,100.0,69.93013734128016,90.24331375968,62.01900757494404,66.13235294117646,97.11627385589777,100.0,93.33818085668959,91.77175479254088,75.83307528305446,50.09785766158315,50.0,50.0,50.0,B YOUNGS,68,SH,23.0,0,ENG,cluster_1,69.3,88.7,50.0,80.9,85.4,76.5,91.8,83.0,https://www.lequipe.fr/_medias/img-sportif-rugby/4621/100,Demi de mêlée,Angleterre
26.0,180.34,83.91,62.49019607843137,72.80975152994684,72.01069518716578,71.90003014123931,87.88621788693916,76.92775365179631,54.80748745687454,74.86696035242295,74.25624390994412,68.71415944555045,53.88235294117648,80.77515903931842,100.0,86.72131147540983,87.61834880538194,93.3661511483507,50.0,50.0,50.0,50.0,M MALINS,17,W,6.0,0,ENG,cluster_1,76.6,72.1,50.0,91.4,74.4,69.6,87.6,70.4,https://www.lequipe.fr/_medias/img-sportif-rugby/10347/100,Ailier,Angleterre
26.0,190.5,115.67,85.3888888888889,50.0,55.93939393939394,52.58542022500742,53.47133256758439,50.0,51.00897884897368,63.12422907488988,70.82606800348738,76.81645836258954,94.55555555555556,92.73728230374252,100.0,90.7377049180328,86.12247926525629,97.1271045501642,50.0,50.0,50.0,50.0,J WILLIS,9,FL,2.0,1,ENG,cluster_1,54.5,50.0,50.0,91.8,92.2,67.4,81.1,70.7,https://www.lequipe.fr/_medias/img-sportif-rugby/9596/100,Flanker,Angleterre
28.0,198.12,109.77,55.738738738738746,57.86011708126546,61.55773955773957,63.52104901456582,63.28271848365712,65.02339923816436,55.491435559785735,83.60400047624722,96.09878295907069,100.0,71.52702702702703,50.0,90.06756756756756,91.62444113263794,90.603372421929,92.51901135613649,50.0,50.0,50.0,50.0,M ITOJE,74,L,3.0,1,ENG,cluster_1,91.3,73.3,50.0,88.1,52.1,89.2,85.0,70.7,https://www.lequipe.fr/_medias/img-sportif-rugby/7844/100,2e Ligne,Angleterre
37.0,193.04,116.57,50.0,50.0,60.6909090909091,59.30751281002672,60.41399770275318,54.35973154362415,51.513468273460504,79.84035242290753,74.99128160418485,100.0,83.66666666666667,52.06606320470061,51.0,92.63556116015137,92.65998318136101,97.55121254573521,50.0,50.0,50.0,50.0,J HASKELL,15,FL,22.0,1,ENG,cluster_1,67.9,50.0,50.0,92.7,59.6,54.3,87.6,61.8,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Flanker,Angleterre
26.0,190.5,109.77,50.0,57.180847703872146,63.85858585858586,62.9271011250371,61.526604294927644,57.266219239373605,51.34530513196489,68.65022026431721,100.0,100.0,89.11111111111109,70.94912921497007,72.7777777777778,92.50683060109293,95.73020924365593,88.07982873372272,50.0,50.0,50.0,50.0,S UNDERHILL,27,FL,4.0,1,ENG,cluster_1,66.5,57.8,50.0,85.7,74.7,60.8,90.6,68.8,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Flanker,Angleterre
30.0,177.8,83.01,76.13333333333333,79.82813661608435,89.47412587412587,79.35446347777653,88.08195609645836,81.18884873515748,57.64883581279655,86.05709251101328,86.9102005231038,62.742505914251474,50.0,87.93271521237219,100.0,94.5326430831176,94.10239409594608,76.28671924545328,50.51187084520418,50.65280910783765,56.76988461716141,85.47511312217227,E DALY,65,FB,7.0,0,ENG,cluster_1,85.7,77.3,63.7,81.6,75.6,81.0,94.1,78.1,https://www.lequipe.fr/_medias/img-sportif-rugby/6493/100,Arrière,Angleterre
31.0,193.04,109.77,54.82575757575758,50.0,71.86776859504133,88.07618876829108,89.05249138532442,88.64307504575966,55.36593296954179,100.0,78.96716731394153,78.92188277948706,71.04545454545455,61.37554679717614,66.5909090909091,98.56184798807749,95.83303978162756,93.66918108759957,50.30246913580247,50.0,50.0,50.0,N HUGHES,22,N8,10.0,1,ENG,cluster_1,94.6,77.1,50.0,84.1,55.9,78.7,88.6,75.8,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,N°8,Angleterre
33.0,180.34,109.77,50.0,50.0,50.0,50.0,50.600807559774225,50.0,51.418876506369216,53.10837004405287,87.48692240627727,99.36666198567622,87.75,83.65888518342067,100.0,100.0,94.5990733259683,94.86106913982752,50.0,50.0,50.0,50.0,B MOON,8,P,4.0,1,ENG,cluster_1,50.0,50.0,50.0,93.0,80.2,50.0,89.4,72.8,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Pilier,Angleterre
32.0,182.88,113.85,50.0,50.0,50.0,51.13506253780813,51.90499957977193,51.59502373547225,50.88593264787932,61.06882991296875,62.80041252897273,73.41237357044264,95.21951219512195,72.89766323103915,82.07317073170732,93.1233822260568,94.29290119787242,96.23100332412571,50.0,50.0,50.0,50.0,J MARLER,41,P,22.0,1,ENG,cluster_1,57.3,50.0,50.0,91.9,73.8,50.0,89.0,70.6,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Pilier,Angleterre
24.0,200.66,119.75,50.0,50.0,50.0,52.32687820250668,51.56209965541298,50.0,52.72424289222891,60.56845814977975,64.9947689625109,72.48925712680804,85.3,80.3906622201048,100.0,91.36885245901638,89.09205731528354,96.23788566880472,50.0,50.0,50.0,50.0,N ISIEKWE,10,L,2.0,1,ENG,cluster_1,54.4,50.0,50.0,90.8,76.9,50.0,83.5,69.9,https://www.lequipe.fr/_medias/img-sportif-rugby/9335/100,2e Ligne,Angleterre
