lnr_id,name,team,matches_verified,starter_rate,form_window,form_tackles_per80,form_line_breaks_per80,form_offloads_per80,form_turnovers_per80
1107,Hamza KAABECHE,LOU Rugby,8,0.125,5,10.53,0.0,0.0,0.66
2175,Hassane KOLINGAR,Racing 92,13,0.0,5,18.01,0.0,0.42,0.0
964,Hoani BOSMORIN,Stade Rochelais,8,0.125,5,2.98,0.5,1.49,0.0
1845,Hugo AURADOU,Section Paloise,14,0.786,5,10.46,0.0,0.0,0.28
1849,Hugo PARROU,Section Paloise,6,0.0,5,11.43,0.0,0.74,0.0
949,Hugo REUS,USA Perpignan,12,0.167,5,4.39,0.0,1.46,0.0
354,Hugo ZABALZA,US Montauban,16,0.188,5,6.96,0.0,1.3,0.0
13410,I. BALEIWAIRIKI,LOU Rugby,5,0.8,5,8.74,0.92,1.15,0.0
11725,I. KOFFI,Stade Français Paris,1,0.0,1,26.67,0.0,0.0,0.0
13812,I. PETELO MAPU,Stade Français Paris,3,0.0,3,12.58,0.0,0.0,0.0
647,I. SIMONE,ASM Clermont,9,0.444,5,7.69,0.85,0.28,0.0
2148,Ibrahim DIALLO,Racing 92,1,0.0,1,19.26,1.48,0.0,0.0
1885,Ignacio CALLES,Aviron Bayonnais,7,0.143,5,6.77,0.0,0.31,0.62
11989,Ignacio RUIZ,USA Perpignan,8,0.25,5,12.28,0.0,0.37,0.0
2387,Ihaia WEST,Stade Rochelais,10,0.4,5,1.7,0.0,0.0,0.0
857,Irakli APTSIAURI,LOU Rugby,14,0.286,5,18.04,0.0,0.0,0.34
12591,J. AINSLEY,LOU Rugby,13,0.308,5,15.67,0.0,0.0,0.0
1334,J. BOSVIEL,US Montauban,12,0.583,5,2.83,0.0,1.42,0.0
13528,J. BREX,RC Toulon,9,1.0,5,7.14,0.0,0.21,0.0
675,J. CANCORIET,Stade Rochelais,8,0.875,5,7.27,0.0,0.47,0.47
991,J. DANTY,Stade Rochelais,2,1.0,2,6.07,0.0,2.21,0.0
1958,J. DE LA FUENTE,USA Perpignan,15,0.8,5,6.96,0.46,0.93,0.0
13507,J. DU PREEZ,Union Bordeaux-Bègles,1,0.0,1,4.57,2.29,2.29,0.0
611,J. FERNANDEZ,Castres Olympique,13,0.308,5,5.88,1.36,0.45,0.45
