player_id,name,team,position_group,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,carries_per80,meters_per80,passes_per80,kick_meters_per80,penalties_per80,offloads_per80,line_breaks_per80,turnovers_won_per80,turnovers_lost_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct
lnr_2162,Cedate Gomes Sa,Lyon,FRONT_ROW,9,163.0,18.1,13.74,,,,,,,0.49,0.0,0.0,,0.0,,,,
lnr_1123,M. Guillard,Lyon,LOCK,9,571.0,63.4,15.13,,,,,,,0.0,0.28,0.28,,0.0,,,,
lnr_11734,Monty Ioane,Lyon,WINGER,9,621.0,69.0,3.48,,,,,,,1.16,0.77,0.0,,3.22,,,,
lnr_1095,Félix Lambey,Lyon,LOCK,9,411.0,45.7,14.21,,,,,,,0.19,0.0,0.19,,0.0,,,,
lnr_1126,Alfred Parisien,Lyon,CENTRE,9,401.0,44.6,5.19,,,,,,,0.2,0.0,0.0,,0.0,,,,
lnr_1106,B. Couilloud,Lyon,SCRUM_HALF,8,450.0,56.2,4.98,,,,,,,1.07,1.42,0.18,,2.67,,,,
lnr_11474,D. Jackson,Lyon,FLY_HALF,8,313.0,39.1,6.13,,,,,,,0.26,0.0,0.26,,9.97,,,,
lnr_1107,Hamza Kaabeche,Lyon,FRONT_ROW,8,364.0,45.5,9.23,,,,,,,0.22,0.0,0.44,,0.0,,,,
lnr_1074,J. Maraku,Lyon,CENTRE,8,531.0,66.4,9.34,,,,,,,0.0,0.3,0.0,,0.75,,,,
lnr_1127,Beka Saginadze,Lyon,LOCK,8,355.0,44.4,9.46,,,,,,,0.23,0.0,0.45,,0.0,,,,
lnr_929,M. Sarragallet,Lyon,FRONT_ROW,8,212.0,26.5,19.25,,,,,,,1.13,0.0,0.38,,0.0,,,,
lnr_1584,B. Shvangiradze,Lyon,BACK_ROW,7,300.0,42.9,13.6,,,,,,,0.27,0.27,0.8,,0.0,,,,
lnr_1124,A. Tchaptchet Noutcha,Lyon,FULLBACK,7,399.0,57.0,3.41,,,,,,,0.6,0.2,0.0,,0.0,,,,
lnr_1117,M. Okuya,Lyon,BACK_ROW,6,284.0,47.3,16.06,,,,,,,0.28,0.0,0.28,,0.0,,,,
lnr_1101,Thibaut Regard,Lyon,CENTRE,4,231.0,57.8,7.27,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_1128,Maxime Gouzou,Lyon,BACK_ROW,3,54.0,18.0,5.93,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_1037,Arthur Mathiron,Lyon,CENTRE,3,91.0,30.3,7.91,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_1437,Vincent Rattez,Lyon,CENTRE,3,175.0,58.3,6.4,,,,,,,1.37,0.0,0.46,,2.29,,,,
lnr_12477,Antoine Deliance,Lyon,BACK_ROW,2,160.0,80.0,12.5,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_11791,A. Maalo,Lyon,FRONT_ROW,2,45.0,22.5,8.89,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_1060,Thomas Marceline,Lyon,FRONT_ROW,2,53.0,26.5,13.58,,,,,,,0.0,1.51,0.0,,7.55,,,,
lnr_267,B. Erdocio,Montpellier,FRONT_ROW,16,616.0,38.5,12.99,,,,,,,0.26,0.0,0.26,,0.65,,,,
lnr_1416,Arthur Vincent,Montpellier,CENTRE,16,990.0,61.9,5.74,,,,,,,0.24,0.24,0.0,,1.21,,,,
lnr_1427,A. Becognee,Montpellier,BACK_ROW,15,868.0,57.9,13.09,,,,,,,0.09,0.0,0.46,,1.38,,,,
lnr_1440,Enzo Forletta,Montpellier,FRONT_ROW,15,668.0,44.5,9.46,,,,,,,0.12,0.0,0.0,,0.0,,,,
lnr_574,W. Hounkpatin,Montpellier,FRONT_ROW,15,690.0,46.0,8.23,,,,,,,0.12,0.0,0.7,,2.9,,,,
lnr_2354,C. Tolofua,Montpellier,FRONT_ROW,15,541.0,36.1,5.91,,,,,,,0.15,0.0,0.44,,5.91,,,,
lnr_12461,Viliami Vunipola,Montpellier,BACK_ROW,15,937.0,62.5,10.16,,,,,,,0.85,0.17,0.34,,0.43,,,,
lnr_1432,Bastien Chalureau,Montpellier,LOCK,14,627.0,44.8,8.93,,,,,,,1.02,0.0,0.0,,0.0,,,,
lnr_1400,A. Masibaka,Montpellier,BACK_ROW,14,377.0,26.9,15.49,,,,,,,0.42,0.64,0.42,,3.18,,,,
lnr_1460,Léo Coly,Montpellier,SCRUM_HALF,13,310.0,23.8,2.58,,,,,,,1.03,0.26,0.0,,3.1,,,,
lnr_1376,Lenni Nouchi,Montpellier,BACK_ROW,13,912.0,70.2,10.44,,,,,,,0.53,0.88,0.0,,2.63,,,,
lnr_250,Auguste Cadot,Montpellier,FLY_HALF,11,798.0,72.5,4.41,,,,,,,0.6,0.6,0.4,,0.5,,,,
lnr_454,Luka Japaridze,Montpellier,FRONT_ROW,11,434.0,39.5,11.8,,,,,,,0.0,0.0,0.0,,0.0,,,,
lnr_949,Hugo Reus,Montpellier,FLY_HALF,11,110.0,10.0,0.0,,,,,,,0.0,0.0,0.0,,24.0,,,,
lnr_12799,Jordan Uelese,Montpellier,FRONT_ROW,11,536.0,48.7,10.15,,,,,,,0.3,0.15,0.3,,2.99,,,,
lnr_1438,Florian Verhaeghe,Montpellier,LOCK,11,742.0,67.5,8.63,,,,,,,1.4,0.32,0.43,,0.0,,,,
lnr_1434,Yacouba Camara,Montpellier,BACK_ROW,10,684.0,68.4,11.23,,,,,,,0.35,0.12,0.58,,0.0,,,,
lnr_350,Maël Moustin,Montpellier,CENTRE,10,723.0,72.3,4.87,,,,,,,1.11,1.22,0.0,,1.66,,,,
lnr_1441,Marco Tauleigne,Montpellier,BACK_ROW,10,345.0,34.5,8.58,,,,,,,0.46,0.46,0.23,,3.48,,,,
lnr_1446,Mohamed Haouas,Montpellier,FRONT_ROW,9,278.0,30.9,10.65,,,,,,,0.29,0.0,0.0,,0.0,,,,
lnr_2151,D. Taofifenua,Montpellier,FULLBACK,9,462.0,51.3,3.98,,,,,,,0.0,0.52,0.0,,1.73,,,,
lnr_13817,Justo Piccardo,Montpellier,CENTRE,8,434.0,54.2,9.22,,,,,,,0.18,0.37,0.18,,1.84,,,,
lnr_13460,R. Riccitelli,Montpellier,FRONT_ROW,8,294.0,36.8,10.88,,,,,,,0.0,0.0,0.27,,4.08,,,,
lnr_2769,Alexis Bernadet,Montpellier,SCRUM_HALF,7,320.0,45.7,5.25,,,,,,,0.75,0.25,0.0,,2.5,,,,
lnr_12541,Nika Abuladze,Montpellier,FRONT_ROW,5,158.0,31.6,10.63,,,,,,,0.51,0.0,0.0,,0.0,,,,
lnr_1445,Thomas Darmon,Montpellier,FLY_HALF,5,114.0,22.8,7.72,,,,,,,0.0,0.7,0.0,,0.0,,,,
lnr_12786,Stuart Hogg,Montpellier,FULLBACK,5,155.0,31.0,5.16,,,,,,,2.06,1.03,0.0,,5.16,,,,
lnr_299,Madosha Tambwe,Montpellier,WINGER,5,244.0,48.8,3.61,,,,,,,0.66,0.33,0.0,,1.64,,,,
lnr_88,Thomas Vincent,Montpellier,FLY_HALF,5,169.0,33.8,7.57,,,,,,,0.47,0.0,0.0,,6.63,,,,
lnr_1401,Lyam Akrab,Montpellier,FRONT_ROW,2,75.0,37.5,5.33,,,,,,,1.07,0.0,0.0,,0.0,,,,
